date,pol_ru,rank,avg_score
Jun-07,Собянин Сергей Семенович,12,6.33
Jun-07,Якунин Владимир Иванович,14,6.28
Jun-07,Греф Герман Оскарович,15,6.17
Jun-07,Лужков Юpий Михайлович,15,6.17
Jun-07,Грызлов Борис Вячеславович,17,6.06
Jun-07,Миронов Сергей Михайлович,17,6.06
Jun-07,Нарышкин Сергей Евгеньевич,19,5.78
Jun-07,Чубайс Анатолий Борисович,20,5.72
Jun-07,Дерипаска Олег Владимирович,21,5.67
Jun-07,Алекперов Вагит Юсуфович,22,5.50
Jun-07,Нургалиев Рашид Гумарович,22,5.50
Jun-07,Фридман Михаил Маратович,24,5.28
Jun-07,Чемезов Сергей Викторович,25,5.22
Jun-07,Кожин Владимир Игоревич,26,5.17
Jun-07,Матвиенко Валентина Ивановна,26,5.17
Jun-07,Зурабов Михаил Юрьевич,28,5.11
Jun-07,Козак Дмитрий Николаевич,28,5.11
Jun-07,Громов Алексей Алексеевич,30,5.06
Jun-07,Лавров Сергей Викторович,31,5.00
Jun-07,Христенко Виктор Борисович,31,5.00
Jun-07,Рейман Леонид Дододжонович,33,4.94
Jun-07,Черкесов Виктор Васильевич,33,4.94
Jun-07,Шаймиев Минтимер Шарипович,35,4.89
Jun-07,Шувалов Игорь Иванович,35,4.89
Jun-07,Шойгу Сергей Кужугетович,37,4.83
Jun-07,Добродеев Олег Борисович,38,4.78
Jun-07,Евтушенков Владимир Петрович,38,4.78
Jun-07,Чайка Юрий Яковлевич,38,4.78
Jun-07,Вайншток Семен Михайлович,41,4.72
Jun-07,Потанин Владимир Олегович,41,4.72
Jun-07,Володин Вячеслав Викторович,43,4.67
Jun-07,Жуков Александр Дмитриевич,43,4.67
Jun-07,Мордашов Алексей Александрович,45,4.56
Jun-07,Гордеев Алексей Васильевич,46,4.50
Jun-07,Богданчиков Сергей Михайлович,47,4.44
Jun-07,Приходько Сергей Эдуардович,47,4.44
Jun-07,Сердюков Анатолий Эдуардович,47,4.44
Jun-07,Эрнст Константин Львович,50,4.39
Jun-07,Левитин Игорь Евгеньевич,51,4.33
Jun-07,Жириновский Владимир Вольфович,52,4.28
Jun-07,Авен Петр Олегович,53,4.22
Jun-07,Зюганов Геннадий Андреевич,53,4.22
Jun-07,Игнатьев Сергей Михайлович,53,4.22
Jun-07,Кириенко Сергей Владиленович,53,4.22
Jun-07,Дворкович Аркадий Владимирович,57,4.17
Jun-07,Кадыров Рамзан Ахматович,57,4.17
Jun-07,Ткачев Александр Николаевич,57,4.17
Jun-07,Трутнев Юрий Петрович,57,4.17
Jun-07,Балуевский Юрий Николаевич,61,4.11
Jun-07,Кирилл (Патриарх Московский и всея Руси),62,4.06
Jun-07,Фурсенко Андрей Александрович,62,4.06
Jun-07,Волошин Александр Стальевич,64,4.00
Jun-07,Костин Андрей Леонидович,64,4.00
Jun-07,Абрамов Александр Сергеевич,66,3.89
Jun-07,Казьмин Андрей Ильич,66,3.89
Jun-07,Степашин Сергей Вадимович,66,3.89
Jun-07,Бельянинов Андрей Юрьевич,69,3.83
Jun-07,Ковальчук Юрий Валентинович,69,3.83
Jun-07,Лебедев Вячеслав Михайлович,69,3.83
Jun-07,Хлопонин Александр Геннадиевич,72,3.78
Jun-07,Иванов Игорь Сергеевич,73,3.72
Jun-07,Устинов Владимир Васильевич,73,3.72
Jun-07,Громов Борис Всеволодович,75,3.67
Jun-07,Полтавченко Георгий Сергеевич,76,3.61
Jun-07,Зорькин Валерий Дмитриевич,77,3.50
Jun-07,Рахимов Муртаза Губайдуллович,77,3.50
Jun-07,Чуров Владимир Евгеньевич,77,3.50
Jun-07,Артемьев Игорь Юрьевич,80,3.44
Jun-07,Клебанов Илья Иосифович,80,3.44
Jun-07,Зубков Виктор Алексеевич,82,3.33
Jun-07,Поллыева Джахан Реджеповна,83,3.28
Jun-07,Резник Владислав Матусович,83,3.28
Jun-07,Латышев Петр Михайлович,85,3.22
Jun-07,Морозов Олег Викторович,85,3.22
Jun-07,Алешин Борис Сергеевич,87,3.17
Jun-07,Пугачев Сергей Борисович,87,3.17
Jun-07,Соколов Александр Сергеевич,87,3.17
Jun-07,Ястржембский Сергей Владимирович,87,3.17
Jun-07,Зеленин Дмитрий Вадимович,91,3.11
Jun-07,Плигин Владимир Николаевич,91,3.11
Jun-07,Тулеев Амангельды Молдагазыевич,91,3.11
Jun-07,Шанцев Валерий Павлинович,91,3.11
Jun-07,Боос Георгий Валентинович,95,3.06
Jun-07,Косачев Константин Иосифович,95,3.06
Jun-07,Бабаков Александр Михайлович,97,3.00
Jun-07,Говорун Олег Маркович,97,3.00
Jun-07,Примаков Евгений Максимович,97,3.00
Jun-07,Исаев Андрей Константинович,100,2.94
Jun-07,Исхаков Камиль Шамильевич,100,2.94
Jun-07,Коновалов Александр Владимирович,100,2.94
Jul-07,Путин Владимир Владимирович,1,9.87
Jul-07,Иванов Сергей Борисович,2,8.07
Jul-07,Медведев Дмитрий Анатольевич,3,7.87
Jul-07,Сечин Игорь Иванович,4,7.73
Jul-07,Сурков Владислав Юрьевич,5,7.53
Jul-07,Кудрин Алексей Леонидович,6,6.60
Jul-07,Собянин Сергей Семенович,6,6.60
Jul-07,Фрадков Михаил Ефимович,8,6.53
Jul-07,Алексий II,9,6.33
Jul-07,Лужков Юpий Михайлович,10,6.27
Jul-07,Абрамович Роман Аркадьевич,11,6.20
Jul-07,Иванов Виктор Петрович,12,6.13
Jul-07,Греф Герман Оскарович,13,6.07
